article_id,author_name
2001.00182,Christian Vitale
2001.00182,Carla Fabiana Chiasserini
2001.00182,"Francesco
  Malandrino"
2001.00182,Senay Semu Tadesse
2001.00185,Naser T. Sardari
2001.00185,Masoud Zargar
2001.00186,S. Uskudarli
2001.00186,"E. G""okdeniz"
2001.00186,
2001.00186,R. Canbeyli
2001.00187,Yihua Cheng
2001.00187,Shiyao Huang
2001.00187,Fei Wang
2001.00187,Chen Qian
2001.00187,Feng Lu
2001.00191,Jing Zhang
2001.00191,Yong Zhang
2001.00191,Suhua Zhan
2001.00191,Cheng Cheng
2001.00192,James Tee
2001.00192,Desmond P. Taylor
2001.00195,Pascal Gadient
2001.00195,Mohammad Ghafari
2001.00195,Marc-Andrea Tarnutzer
2001.00195,"Oscar
  Nierstrasz"
2001.00204,Maike Buchin
2001.00204,Leonie Selbach
2001.00207,Peng Cheng
2001.00207,Zhuo Chen
2001.00207,Ming Ding
2001.00207,Yonghui Li
2001.00207,Branka Vucetic
2001.00207,"and
  Dusit Niyato"
2001.00208,Xi Fang
2001.00208,Pingkun Yan
2001.0021,Steve Thakur
2001.00211,Timothy M. Chan
2001.00211,Shay Golan
2001.00211,Tomasz Kociumaka
2001.00211,Tsvi Kopelowitz
2001.00211,"Ely
  Porat"
2001.00215,Joshua Peeples
2001.00215,Weihuang Xu
2001.00215,
2001.00215,Alina Zare
2001.00218,Thiago Serra
2001.00218,Abhinav Kumar
2001.00218,Srikumar Ramalingam
2001.00219,James J. Cusick
2001.00222,Shannon Joyner
2001.00222,Michael MacCoss
2001.00222,Christina Delimitrou
2001.00222,"Hakim
  Weatherspoon"
2001.00226,Sarah Cline
2001.00226,Jacob Aronoff
2001.00228,Lorena A. Barba
2001.0023,Shravan Garlapati
2001.00234,Ramin Ayanzadeh
2001.00234,Milton Halem
2001.00234,Tim Finin
2001.00236,Donghoon Chang (1)
2001.00236,Vinjohn Chirakkal (2)
2001.00236,Shubham Goswami (3)
2001.00236,Munawar Hasan (1)
2001.00236,Taekwon Jung (2)
2001.00236,Jinkeon Kang (1
2001.00236,3)
2001.00236,Seok-Cheol Kee (4)
2001.00236,Dongkyu Lee (5)
2001.00236,Ajit Pratap Singh (1) ((1) Department of Computer Science
2001.00236,IIIT-Delhi
2001.00236,India
2001.00236,(2) Springcloud Inc.
2001.00236,Korea
2001.00236,"(3) Center for Information
  Security Technologies (CIST)"
2001.00236,Korea University
2001.00236,"(4) Smart Car Research
  Center"
2001.00236,Chungbuk National University
2001.00236,"(5) Department of Smart Car
  Engineering"
2001.00236,Korea)
2001.00238,Jurandy Almeida
2001.00238,Cristiano Saltori
2001.00238,Paolo Rota
2001.00238,
2001.00238,Nicu Sebe
2001.00243,Mahbubur Rahman
2001.00243,Abusayeed Saifullah
2001.00248,Sungryull Sohn
2001.00248,Hyunjae Woo
2001.00248,Jongwook Choi
2001.00248,Honglak Lee
2001.00249,Maria De-Arteaga
2001.00249,Tejumade Afonja
2001.00249,Amanda Coston
2001.00254,Zhaodong Chen
2001.00254,Lei Deng
2001.00254,Bangyan Wang
2001.00254,Guoqi Li
2001.00254,Yuan Xie
2001.00257,Parinya Chalermsook
2001.00257,Samir Khuller
2001.00257,Pattara Sukprasert
2001.00257,Sumedha Uniyal
2001.00258,Mahendra Khened
2001.00258,Avinash Kori
2001.00258,Haran Rajkumar
2001.00258,Balaji Srinivasan
2001.00258,Ganapathy Krishnamurthi
2001.00259,Ghafour Ahani
2001.00259,Di Yuan
2001.00265,Kan Li
2001.00265,Jose C. Principe
2001.00267,Jianing Sun
2001.00267,Yingxue Zhang
2001.00267,Chen Ma
2001.00267,Mark Coates
2001.00267,Huifeng Guo
2001.00267,"Ruiming
  Tang"
2001.00267,Xiuqiang He
2001.00271,Khimya Khetarpal
2001.00271,Martin Klissarov
2001.00271,Maxime Chevalier-Boisvert
2001.00271,Pierre-Luc Bacon
2001.00271,Doina Precup
2001.00278,Facundo Memoli
2001.00278,Guilherme Vituri F. Pinto
2001.00279,Alberto Iess
2001.00279,Elena Cuoco
2001.00279,Filip Morawski
2001.00279,Jade Powell
2001.00281,Yaohui Cai
2001.00281,Zhewei Yao
2001.00281,Zhen Dong
2001.00281,Amir Gholami
2001.00281,Michael W. Mahoney
2001.00281,Kurt Keutzer
2001.00285,Mai Thanh Thai
2001.00285,Phuoc Thien Phan
2001.00285,Shing Wong
2001.00285,Nigel H. Lovell
2001.00285,"Thanh
  Nho Do"
2001.00288,Chandresh Kumar Maurya
2001.00288,Neelamadhav Gantayat
2001.00288,Sampath Dechu
2001.00288,"Tomas
  Horvath"
2001.00292,Jin Chen
2001.00292,Huihui Song
2001.00292,Kaihua Zhang
2001.00292,Bo Liu
2001.00292,Qingshan Liu
2001.00293,Wenwu Zhu
2001.00293,Xin Wang
2001.00293,Peng Cui
2001.00294,Dezhao Luo
2001.00294,Chang Liu
2001.00294,Yu Zhou
2001.00294,Dongbao Yang
2001.00294,Can Ma
2001.00294,Qixiang Ye
2001.00294,Weiping Wang
2001.00295,Huiwei Zhou
2001.00295,Shixian Ning
2001.00295,Yunlong Yang
2001.00295,Zhuang Liu
2001.00295,Chengkun Lang
2001.00295,Yingyu Lin
2001.00301,Jiyoon Ham
2001.00301,Joshua I. James
2001.00303,Nima Anari
2001.00303,Kuikui Liu
2001.00303,Shayan Oveis Gharan
2001.00306,Jun Ma
2001.00306,Zilong Cheng
2001.00306,Xiaoxue Zhang
2001.00306,Masayoshi Tomizuka
2001.00306,Tong Heng Lee
2001.00308,Ying Meng
2001.00308,Jianhai Su
2001.00308,Jason OKane
2001.00308,Pooyan Jamshidi
2001.00309,Hao Chen
2001.00309,Kunyang Sun
2001.00309,Zhi Tian
2001.00309,Chunhua Shen
2001.00309,Yongming Huang
2001.00309,Youliang Yan
2001.00315,Dongjing Miao
2001.00315,Zhipeng Cai
2001.00315,Jianzhong Li
2001.00315,Xiangyu Gao
2001.00315,Xianmin Liu
2001.00325,Shunsuke Kurima
2001.00326,Xuanyi Dong
2001.00326,Yi Yang
2001.00329,Dallas Card
2001.00329,Noah A. Smith
2001.0033,Bilal Arain
2001.0033,Feras Dayoub
2001.0033,Paul Rigby
2001.0033,Matthew Dunbabin
2001.00335,Yi Lu
2001.00335,Yaran Chen
2001.00335,Dongbin Zhao
2001.00335,Jianxin Chen
2001.00336,Sayan Bhattacharya
2001.00336,Danupon Nanongkai
2001.00336,Thatchaphol Saranurak
2001.00337,Ying Yang
2001.00337,Ruigang Shen
2001.00337,Mingjuan Fang
2001.00337,Shi Shu
2001.00338,Eric Daimler
2001.00338,Ryan Wisnesky
2001.00339,Yuanyuan Lyu
2001.00339,Haofu Liao
2001.00339,Heqin Zhu
2001.00339,S. Kevin Zhou
2001.0034,Yuanyuan Lyu
2001.0034,Wei-An Lin
2001.0034,Haofu Liao
2001.0034,Jingjing Lu
2001.0034,S. Kevin Zhou
2001.00342,Doyeon Weon
2001.00342,Kyungchun Lee
2001.00345,Raj Kishore
2001.00345,S. Swayamjyoti
2001.00345,Shreeja Das
2001.00345,Ajay K. Gogineni
2001.00345,"Zohar
  Nussinov"
2001.00345,D. Solenov
2001.00345,Kisor K. Sahu
2001.00346,Ce Wang
2001.00346,S. Kevin Zhou
2001.00346,Zhiwei Cheng
2001.00347,Eduard E. Bahingayi
2001.00347,Kyungchun Lee
2001.0035,Brian K. Ryu
2001.00351,Meng Hua
2001.00351,Luxi Yang
2001.00351,Qingqing Wu
2001.00351,A. Lee Swindlehurst
2001.00356,Moonyoung Lee
2001.00356,Yujin Heo
2001.00356,Jinyong Park
2001.00356,Hyun-Dae Yang Ho-Deok Jang
2001.00356,Philipp Benz
2001.00356,Hyunsub Park
2001.00356,In So Kweon
2001.00356,Jun-Ho Oh
2001.00358,Moonyoung Lee
2001.00358,Yujin Heo
2001.00358,Saihim Cho
2001.00358,Hyunsub Park
2001.00358,Jun-Ho Oh
2001.0036,Cong Chen
2001.0036,Kim Batselier
2001.0036,Wenjian Yu
2001.0036,Ngai Wong
2001.00361,Bohan Liang
2001.00361,Shangxi Wu
2001.00361,Kaiyuan Xu
2001.00361,Jingyu Hao
2001.00362,Azhar Alhammali
2001.00362,Malgorzata Peszynska
2001.00363,Gal Assa
2001.00363,Hagar Meir
2001.00363,Guy Golan-Gueta
2001.00363,Idit Keidar
2001.00363,"Alexander
  Spiegelman"
2001.00364,Xiaojun Yuan
2001.00364,Ying-Jun Angela Zhang
2001.00364,Yuanming Shi
2001.00364,Wenjing Yan
2001.00364,"Hang
  Liu"
2001.00367,Jiapeng Dong
2001.00367,Pengju Wang
2001.00367,Weiqiang Sun
2001.0037,Luis Miguel de Oliveira Vilaca
2001.0037,Bryan Gomez-Vargas
2001.0037,Sarvesh Kumar
2001.0037,Ricardo Ruiz-Baier
2001.0037,Nitesh Verma
2001.00372,Thomas Drugman
2001.00372,Thomas Dubuisson
2001.00372,Thierry Dutoit
2001.00378,Siddique Latif
2001.00378,Rajib Rana
2001.00378,Sara Khalifa
2001.00378,Raja Jurdak
2001.00378,Junaid Qadir
2001.00378,
2001.00378,"Bj""orn W. Schuller"
2001.00381,Paola Francesca Antonietti
2001.00381,Stefano Berrone
2001.00381,Andrea Borio
2001.00381,"Alessandro
  DAuria"
2001.00381,Marco Verani
2001.00381,Steffen Weisser
2001.00387,Noga Alon
2001.00387,Adi Shraibman
2001.00391,Rongzhi Gu
2001.00391,Yuexian Zou
2001.00392,Marc Carrascosa
2001.00392,Boris Bellalta
2001.00393,Alin Bostan
2001.00393,Andrew Elvey Price
2001.00393,Anthony John Guttmann
2001.00393,"Jean-Marie
  Maillard"
2001.00396,Karl Schulz
2001.00396,Leon Sixt
2001.00396,Federico Tombari
2001.00396,Tim Landgraf
2001.00399,Hari Hara Suthan Chittoor
2001.00399,Prasad Krishnan
2001.00399,K V Sushena Sree
2001.00399,"Bhavana
  MVN"
2001.00406,Michael J. Maher
2001.00406,Ilias Tachmazidis
2001.00406,Grigoris Antoniou
2001.00406,Stephen Wade
2001.00406,Long Cheng
2001.00411,Yeshasvi Tirupachuri
2001.00411,Gabriele Nava
2001.00411,Lorenzo Rapetti
2001.00411,Claudia Latella
2001.00411,Kourosh Darvish
2001.00411,Daniele Pucci
2001.00413,Aleksandar Prokopec
2001.00413,Trevor Brown
2001.00413,Dan Alistarh
2001.00418,Nian Li
2001.00418,Maosheng Xiong
2001.00418,
2001.00418,Xiangyong Zeng
2001.00425,Ricardo Augusto Borsoi
2001.00425,Tales Imbiriba
2001.00425,Pau Closas
2001.00425,"Jose Carlos
  Moreira Bermudez"
2001.00425,Cedric Richard
2001.00426,Ljubisa Stankovic
2001.00426,Danilo Mandic
2001.00426,Milos Dakovic
2001.00426,Milos Brajovic
2001.00426,"Bruno
  Scalzo"
2001.00426,Shengxi Li
2001.00426,Anthony G. Constantinides
2001.00432,Dominik Tomaszuk
2001.00432,David Hyland-Wood
2001.00435,Mengqi Xue
2001.00435,Yang Tang
2001.00435,Wei Ren
2001.00435,
2001.00435,Feng Qian
2001.0044,Yunus Emre Sahin
2001.0044,Necmiye Ozay
2001.00441,Nader H. Bshouty
2001.00441,Catherine A. Haddad-Zaknoon
2001.00441,"Raghd Boulos and
  Foad Moalem"
2001.00441,Jalal Nada
2001.00441,Elias Noufi
2001.00441,Yara Zaknoon
2001.00442,Jaeyoung Song
2001.00442,
2001.00442,Wan Choi
2001.00448,Nishai Kooverjee
2001.00448,Steven James
2001.00448,Terence van Zyl
2001.00449,Michael Neunert
2001.00449,Abbas Abdolmaleki
2001.00449,Markus Wulfmeier
2001.00449,Thomas Lampe
2001.00449,Jost Tobias Springenberg
2001.00449,Roland Hafner
2001.00449,Francesco Romano
2001.00449,Jonas Buchli
2001.00449,Nicolas Heess
2001.00449,Martin Riedmiller
2001.00453,Supriya Sarker
2001.00453,Md. Sajedur Rahman
2001.00453,Mohammad Nazmus Sakib
2001.00457,Abdul Abdulrahim
2001.00457,Michael Famoroti
2001.00459,Thomas Drugman
2001.00459,Abeer Alwan
2001.00461,Marcel Hildebrandt
2001.00461,Jorge Andres Quintero Serna
2001.00461,Yunpu Ma
2001.00461,"Martin
  Ringsquandl"
2001.00461,Mitchell Joblin
2001.00461,Volker Tresp
2001.00463,Toby Shevlane
2001.00463,Allan Dafoe
2001.00464,Nian Li
2001.00464,Zhao Hu
2001.00464,Maosheng Xiong
2001.00464,Xiangyong Zeng
2001.00466,Dick Carrillo Melgarejo
2001.00466,Renan Moioli
2001.00466,Pedro Nardelli
2001.00468,Panayotis Mertikopoulos
2001.00468,Heinrich H. Nax
2001.00468,Bary S. R. Pradelski
2001.0047,Jianzhu Huai
2001.0047,Yujia Zhang
2001.0047,Alper Yilmaz
2001.00471,Kennedy Ralston
2001.00471,Yuhao Chen
2001.00471,Haruna Isah
2001.00471,Farhana Zulkernine
2001.00473,Thomas Drugman
2001.00473,Mark Thomas
2001.00473,Jon Gudnason
2001.00473,Patrick Naylor
2001.00473,"Thierry
  Dutoit"
2001.00474,Dorian Goldfeld
2001.00474,Giacomo Micheli
2001.00476,Filipe J. Zabala
2001.00476,Fabiano F. Silveira
2001.00477,Vaidy Sivaraman
2001.00479,Stefano Sarao Mannelli
2001.00479,Lenka Zdeborova
2001.0048,Vito Crismale
2001.0048,Giovanni Scilla
2001.0048,Francesco Solombrino
2001.00481,Jianping Yao
2001.00481,Jie Xu
2001.00483,Xin Wang
2001.00484,Markus Konkol
2001.00484,"Daniel N""ust"
2001.00484,Laura Goulier
2001.00486,Sri Aravinda Krishnan Thyagarajan
2001.00486,Adithya Bhat
2001.00486,Bernardo Magri
2001.00486,Daniel Tschudi
2001.00486,Aniket Kate
2001.00487,Pierre-Olivier Pigny
2001.00487,Lionel Dominjon
2001.00491,Cristiano Politowski
2001.00491,Fabio Petrillo
2001.00491,Gabriel Cavalheiro Ullmann
2001.00491,Josias de Andrade Werly
2001.00491,
2001.00491,"Yann-Ga""el Gueheneuc"
2001.00493,Ruiyuan Gao
2001.00493,Ming Dun
2001.00493,Hailong Yang
2001.00493,Zhongzhi Luan
2001.00493,Depei Qian
2001.00496,Andreas Sedlmeier
2001.00496,Thomas Gabor
2001.00496,Thomy Phan
2001.00496,Lenz Belzner
2001.00496,"Claudia
  Linnhoff-Popien"
2001.00499,Assaf Ben-Yishai
2001.00499,Young-Han Kim
2001.00499,Rotem Oshman
2001.00499,
2001.00499,Ofer Shayevitz
2001.00501,Gautam Krishna
2001.00501,Co Tran
2001.00501,Mason Carnahan
2001.00501,Ahmed H Tewfik
2001.00503,Letian Chen
2001.00503,Rohan Paleja
2001.00503,Muyleng Ghuy
2001.00503,Matthew Gombolay
2001.00504,Davide Dardari
2001.00504,Nicol`o Decarli
2001.00504,Davide Fabbri
2001.00504,Anna Guerra
2001.00504,"Marco
  Fantuzzi"
2001.00504,Diego Masotti
2001.00504,Alessandra Costanzo
2001.00504,Aldo Romani
2001.00504,Maxime Drouguet
2001.00504,Thomas Feuillen
2001.00504,Christopher Raucy
2001.00504,Luc Vandendorpe
2001.00504,Christophe Craeye
2001.00507,Jan Glaubitz
2001.00507,Philipp Oeffner
2001.00514,Kaarthik Sundar
2001.00514,Harsha Nagarajan
2001.00514,Jeff Linderoth
2001.00514,Site Wang
2001.00514,"Russell
  Bent"
2001.00515,Eric Filiol
2001.00519,Marco Chiani
2001.00519,Alberto Zanella
2001.00521,Brittany Factura
2001.00521,Laura LaPerche
2001.00521,Phil Reyneri
2001.00521,Brett Jones
2001.00521,"Kevin
  Karsch"
2001.00522,Na-Young Ahn
2001.00522,Dong Hoon Lee
2001.00526,Fahimeh Fooladgar
2001.00526,Shohreh Kasaei
2001.00528,Devendra Singh Dhami
2001.00528,Siwen Yan
2001.00528,Gautam Kunapuli
2001.00528,Sriraam Natarajan
2001.00532,Ryan Senanayake
2001.00532,Fredrik Kjolstad
2001.00532,Changwan Hong
2001.00532,Shoaib Kamil
2001.00532,"and
  Saman Amarasinghe"
2001.00537,Thomas Drugman
2001.00537,Jerome Urbain
2001.00537,Nathalie Bauwens
2001.00537,Ricardo Chessini
2001.00537,Carlos Valderrama
2001.00537,Patrick Lebecque
2001.00537,Thierry Dutoit
2001.00539,Yizhou Zhao
2001.00539,Hua Sun
2001.00543,S. Rasoul Etesami
2001.00543,Negar Kiyavash
2001.00543,Vincent Leon
2001.00543,H. Vincent Poor
2001.00546,Ken R. Duffy
2001.0055,M. Cerezo
2001.0055,Akira Sone
2001.0055,Tyler Volkoff
2001.0055,Lukasz Cincio
2001.0055,Patrick J. Coles
2001.00558,Yi-Tun Lin
2001.00558,Graham D. Finlayson
2001.00559,Changwei Hu
2001.00559,Yifan Hu
2001.00559,Sungyong Seo
2001.0056,Ahmed A. Hussein
2001.0056,Hesham A. Rakha
2001.00561,Vahid Mirjalili
2001.00561,Sebastian Raschka
2001.00561,Arun Ross
2001.00562,Varad R. Pande
2001.00564,Yuting Ng (1)
2001.00564,Jo~ao M. Pereira (1)
2001.00564,Denis Garagic (2)
2001.00564,"Vahid Tarokh
  (1) ((1) Duke University"
2001.00564,(2) BAE Systems FAST Labs)
2001.00565,Andre Calero Valdez
2001.00565,Lena Adam
2001.00565,Dennis Assenmacher
2001.00565,"Laura
  Burbach"
2001.00565,Malte Bonart
2001.00565,Lena Frischlich
2001.00565,Philipp Schaer
2001.00567,Faheem Zafari
2001.00567,Kin K. Leung
2001.00567,Don Towsley
2001.00567,Prithwish Basu
2001.00567,"Ananthram
  Swami"
2001.00567,Jian Li
2001.00569,Massimiliano Dal Mas
2001.0057,Yaoshiang Ho
2001.0057,Samuel Wookey
2001.00571,Tamirlan Seidakhmetov
2001.00572,Guoxiu He
2001.00572,Zhe Gao
2001.00572,Zhuoren Jiang
2001.00572,Yangyang Kang
2001.00572,Changlong Sun
2001.00572,Xiaozhong Liu
2001.00572,Wei Lu
2001.00573,Sucheta Ghosh
2001.00575,Mona teja K
2001.00575,Mohan Sai. S
2001.00575,H S S S Raviteja D
2001.00575,Sai Kushagra P V
2001.00576,Weixin Liang
2001.00576,Zixuan Liu
2001.00576,Can Liu
2001.00577,Kwangyoun Kim
2001.00577,Kyungmin Lee
2001.00577,Dhananjaya Gowda
2001.00577,Junmo Park
2001.00577,"Sungsoo
  Kim"
2001.00577,Sichen Jin
2001.00577,Young-Yoon Lee
2001.00577,Jinsu Yeo
2001.00577,Daehyun Kim
2001.00577,Seokyeong Jung
2001.00577,Jungin Lee
2001.00577,Myoungji Han
2001.00577,Chanwoo Kim
2001.00579,Thomas Drugman
2001.00579,Thierry Dutoit
2001.0058,Thomas Drugman
2001.0058,Jerome Urbain
2001.0058,Thierry Dutoit
2001.00581,Thomas Drugman
2001.00581,Geoffrey Wilfart
2001.00581,Thierry Dutoit
2001.00582,Thomas Drugman
2001.00582,Thierry Dutoit
2001.00582,Baris Bozkurt
2001.00583,Thomas Drugman
2001.00583,Thomas Dubuisson
2001.00583,Thierry Dutoit
2001.00585,Gavin S. Hartnett
2001.00585,Masoud Mohseni
2001.00593,Hendrik Poulsen Nautrup
2001.00593,Tony Metger
2001.00593,Raban Iten
2001.00593,Sofiene Jerbi
2001.00593,"Lea
  M. Trenkwalder"
2001.00593,Henrik Wilming
2001.00593,Hans J. Briegel
2001.00593,Renato Renner
2001.00594,Yao Zhan
