article_id,authors,author_name
2001.00135,"Mizanur Rahman, Md Rafiul Islam, Mashrur Chowdhury, and Taufiquar Khan","Mizanur Rahman, Md Rafiul Islam, Mashrur Chowdhury,"
2001.00135,"Mizanur Rahman, Md Rafiul Islam, Mashrur Chowdhury, and Taufiquar Khan",Taufiquar Khan
2001.00137,Gwenaelle Cunha Sergio and Minho Lee,Gwenaelle Cunha Sergio
2001.00137,Gwenaelle Cunha Sergio and Minho Lee,Minho Lee
2001.00138,"Wei Niu, Xiaolong Ma, Sheng Lin, Shihao Wang, Xuehai Qian, Xue Lin,
  Yanzhi Wang, Bin Ren","Wei Niu, Xiaolong Ma, Sheng Lin, Shihao Wang, Xuehai Qian, Xue Lin,
  Yanzhi Wang, Bin Ren"
2001.00139,"Jamshed Memon, Maira Sami, Rizwan Ahmed Khan","Jamshed Memon, Maira Sami, Rizwan Ahmed Khan"
2001.00141,Mohammadreza Doostmohammadian,Mohammadreza Doostmohammadian
2001.00145,Shishir Kolathaya,Shishir Kolathaya
2001.00149,"Ping Zhou, Shuo Huang, Qiang Chen, Siyuan He, Guochao Cai","Ping Zhou, Shuo Huang, Qiang Chen, Siyuan He, Guochao Cai"
2001.0015,"Shuo Huang, Suiren Wan","Shuo Huang, Suiren Wan"
2001.00153,"Yuntao Du, Zhiwen Tan, Qian Chen, Xiaowen Zhang, Yirong Yao, Chongjun
  Wang","Yuntao Du, Zhiwen Tan, Qian Chen, Xiaowen Zhang, Yirong Yao, Chongjun
  Wang"
2001.00155,"Jessica Torres Soto, Euan Ashley","Jessica Torres Soto, Euan Ashley"
2001.00158,"Chunming Tang, Cunsheng Ding","Chunming Tang, Cunsheng Ding"
2001.00164,"Vinu E. Venugopal, Martin Theobald, Samira Chaychi and Amal Tawakuli","Vinu E. Venugopal, Martin Theobald, Samira Chaychi"
2001.00164,"Vinu E. Venugopal, Martin Theobald, Samira Chaychi and Amal Tawakuli",Amal Tawakuli
2001.00169,"Leilei Wei, Yinnian He","Leilei Wei, Yinnian He"
2001.0017,"Chunli Qin, Demin Yao, Han Zhuang, Hui Wang, Yonghong Shi, and Zhijian
  Song","Chunli Qin, Demin Yao, Han Zhuang, Hui Wang, Yonghong Shi,"
2001.0017,"Chunli Qin, Demin Yao, Han Zhuang, Hui Wang, Yonghong Shi, and Zhijian
  Song","Zhijian
  Song"
2001.00178,"Marcin Los, Ignacio Muga, Judit Munoz-Matute, Maciej Paszynski","Marcin Los, Ignacio Muga, Judit Munoz-Matute, Maciej Paszynski"
2001.00179,"Ruben Tolosana, Ruben Vera-Rodriguez, Julian Fierrez, Aythami Morales,
  Javier Ortega-Garcia","Ruben Tolosana, Ruben Vera-Rodriguez, Julian Fierrez, Aythami Morales,
  Javier Ortega-Garcia"
2001.00182,"Christian Vitale and Carla Fabiana Chiasserini and Francesco
  Malandrino and Senay Semu Tadesse",Christian Vitale
2001.00182,"Christian Vitale and Carla Fabiana Chiasserini and Francesco
  Malandrino and Senay Semu Tadesse",Carla Fabiana Chiasserini
2001.00182,"Christian Vitale and Carla Fabiana Chiasserini and Francesco
  Malandrino and Senay Semu Tadesse","Francesco
  Malandrino"
2001.00182,"Christian Vitale and Carla Fabiana Chiasserini and Francesco
  Malandrino and Senay Semu Tadesse",Senay Semu Tadesse
2001.00185,"Naser T. Sardari, Masoud Zargar","Naser T. Sardari, Masoud Zargar"
2001.00186,"S. Uskudarli, E. G""okdeniz, and R. Canbeyli","S. Uskudarli, E. G""okdeniz,"
2001.00186,"S. Uskudarli, E. G""okdeniz, and R. Canbeyli",R. Canbeyli
2001.00187,"Yihua Cheng, Shiyao Huang, Fei Wang, Chen Qian, Feng Lu","Yihua Cheng, Shiyao Huang, Fei Wang, Chen Qian, Feng Lu"
2001.00191,"Jing Zhang, Yong Zhang, Suhua Zhan, Cheng Cheng","Jing Zhang, Yong Zhang, Suhua Zhan, Cheng Cheng"
2001.00192,James Tee and Desmond P. Taylor,James Tee
2001.00192,James Tee and Desmond P. Taylor,Desmond P. Taylor
2001.00195,"Pascal Gadient, Mohammad Ghafari, Marc-Andrea Tarnutzer, Oscar
  Nierstrasz","Pascal Gadient, Mohammad Ghafari, Marc-Andrea Tarnutzer, Oscar
  Nierstrasz"
2001.00204,Maike Buchin and Leonie Selbach,Maike Buchin
2001.00204,Maike Buchin and Leonie Selbach,Leonie Selbach
2001.00207,"Peng Cheng, Zhuo Chen, Ming Ding, Yonghui Li, Branka Vucetic, and
  Dusit Niyato","Peng Cheng, Zhuo Chen, Ming Ding, Yonghui Li, Branka Vucetic, and
  Dusit Niyato"
2001.00208,"Xi Fang, Pingkun Yan","Xi Fang, Pingkun Yan"
2001.0021,Steve Thakur,Steve Thakur
2001.00211,"Timothy M. Chan, Shay Golan, Tomasz Kociumaka, Tsvi Kopelowitz, Ely
  Porat","Timothy M. Chan, Shay Golan, Tomasz Kociumaka, Tsvi Kopelowitz, Ely
  Porat"
2001.00215,"Joshua Peeples, Weihuang Xu, and Alina Zare","Joshua Peeples, Weihuang Xu,"
2001.00215,"Joshua Peeples, Weihuang Xu, and Alina Zare",Alina Zare
2001.00218,"Thiago Serra, Abhinav Kumar, Srikumar Ramalingam","Thiago Serra, Abhinav Kumar, Srikumar Ramalingam"
2001.00219,James J. Cusick,James J. Cusick
2001.00222,"Shannon Joyner, Michael MacCoss, Christina Delimitrou, Hakim
  Weatherspoon","Shannon Joyner, Michael MacCoss, Christina Delimitrou, Hakim
  Weatherspoon"
2001.00226,Sarah Cline and Jacob Aronoff,Sarah Cline
2001.00226,Sarah Cline and Jacob Aronoff,Jacob Aronoff
2001.00228,Lorena A. Barba,Lorena A. Barba
2001.0023,Shravan Garlapati,Shravan Garlapati
2001.00234,"Ramin Ayanzadeh, Milton Halem and Tim Finin","Ramin Ayanzadeh, Milton Halem"
2001.00234,"Ramin Ayanzadeh, Milton Halem and Tim Finin",Tim Finin
